type,group,emf,SQI
paddy,low,0.050404023,0.759292
paddy,low,0.273892928,0.801491
paddy,low,0.27971668,0.813702
paddy,low,0.335005515,0.871188
paddy,low,0.371625641,0.870462
paddy,low,0.469578226,0.947667
paddy,low,0.325139056,0.940268
paddy,low,0.352896259,0.852203
paddy,low,0.296317089,0.882749
paddy,low,0.336415924,0.852203
paddy,low,0.293995344,0.869175
paddy,low,0.398726495,0.910276
paddy,low,0.327948301,0.867748
paddy,low,0.052671986,0.901165
paddy,low,0.114876178,0.92263
paddy,low,0.193682176,0.938256
wasteland,high,-0.292511959,0.861255
wasteland,high,-0.387474582,0.707061
wasteland,high,-0.400085935,0.729167
wasteland,high,-0.782705702,0.476789
wasteland,high,-0.754947618,0.539522
wasteland,high,-0.798906072,0.478252
wasteland,high,-0.601951943,0.41786
wasteland,high,-0.608648682,0.389487
wasteland,high,-0.579715232,0.392195
wasteland,high,0.776931706,0.578250048
wasteland,high,0.880645842,0.578250048
wasteland,high,0.891251155,0.578250048
wasteland,high,-0.705246722,0.444251
wasteland,high,-0.652657849,0.478018
wasteland,high,-0.702890401,0.445356
wasteland,high,-0.751296359,0.457582
wasteland,high,-0.780501767,0.44328
wasteland,high,-0.765921226,0.454217
wasteland,high,-0.145522961,0.713882
wasteland,high,-0.119071675,0.715667
wasteland,high,-0.122429935,0.705827
wasteland,high,-0.210312793,0.769127
wasteland,high,-0.217608356,0.76872
wasteland,high,-0.232803541,0.755736
woodland,high,0.085861045,0.862365
woodland,high,0.038501211,0.814137
woodland,high,0.067844171,0.832757
woodland,high,0.122131292,0.910787
woodland,high,0.000155186,0.829481
woodland,high,0.040774075,0.854305
woodland,high,-0.510779506,0.597473
woodland,high,-0.379643544,0.615843
woodland,high,-0.49667866,0.63703
woodland,high,-0.429228135,0.598963
woodland,high,-0.415556551,0.60385
woodland,high,-0.474097068,0.603008
upland,high,-0.354326614,0.732038
upland,high,-0.414897349,0.705411
upland,high,-0.377913923,0.702506
upland,high,-0.421875547,0.684704
upland,high,-0.357884331,0.68724
upland,high,-0.467625459,0.68699
upland,high,-0.167765693,0.762872
upland,high,-0.387703739,0.641591
upland,high,-0.246814917,0.742072
upland,high,-0.181348743,0.713322
upland,high,-0.274830577,0.698267
upland,high,-0.173382723,0.716174
upland,high,-0.573045332,0.255727
upland,high,-0.619783852,0.250377
upland,high,-0.568516204,0.257095
upland,high,-0.319500458,0.662176
upland,high,-0.33037761,0.678207
upland,high,-0.348341322,0.674939
upland,high,0.361459024,0.900844667
upland,high,0.104391867,0.900844667
upland,high,0.162733579,0.900844667
upland,high,0.186602801,0.89878
upland,high,0.178582597,0.914091
upland,high,0.169361434,0.889663
paddy,high,-1.065426131,0.385604
paddy,high,-1.088812826,0.399757
paddy,high,-1.090178139,0.400647
paddy,high,-0.091897917,0.865521
paddy,high,-0.129611466,0.83764
paddy,high,-0.099438828,0.847948
paddy,high,-0.085717474,0.848852
paddy,high,-0.247725842,0.76696
paddy,high,-0.284023896,0.718625
paddy,high,0.416023189,0.73822
paddy,high,0.444770868,0.735417
paddy,high,0.466874583,0.734808
